,originBikeStation,destBikeStation,rawUberTripTime,pickupEstimate,uberTripDistance,uberTripValue,uberTripTime
149,66,491,1620,7,3.2,£9-13,2040
150,65,318,1140,9,1.6,£6-9,1680
151,58,95,720,4,1.48,£5-7,960
152,801,55,1200,6,2.15,£7-10,1560
153,61,194,300,3,0.63,£5-6,480
154,167,625,540,4,1.31,£5-7,780
155,101,154,900,5,2.2,£7-9,1200
156,50,466,300,4,0.91,£5-6,540
157,551,255,2880,6,9.63,£19-26,3240
158,107,298,1500,4,2.84,£9-12,1740
159,443,489,240,10,0.4,£5-6,840
160,227,695,480,5,0.99,£5-6,780
161,628,648,240,15,0.71,£5-6,1140
162,618,737,240,11,0.34,£5-6,900
163,614,794,600,12,1.9,£6-8,1320
164,159,77,1080,9,1.66,£6-9,1620
165,296,332,300,3,0.35,£5-6,480
166,11,325,1260,4,1.69,£7-9,1500
167,344,68,540,4,1.11,£5-6,780
168,773,199,960,5,1.16,£5-8,1260
169,101,122,960,5,1.17,£6-8,1260
170,441,305,360,6,0.96,£5-6,720
171,289,368,360,4,1.02,£5-6,600
172,58,577,660,4,1.51,£5-7,900
173,572,594,1560,3,2.74,£9-12,1740
174,792,252,420,6,0.79,£5-6,780
175,134,645,900,9,2.04,£6-9,1440
176,769,121,1860,12,4.81,£12-16,2580
177,680,527,1080,8,2.98,£8-11,1560
178,273,374,360,10,0.8,£5-6,960
179,471,321,1440,6,4.8,£11-15,1800
180,781,423,480,5,1.09,£5-6,780
181,773,162,720,5,1.23,£5-7,1020
182,465,96,180,6,0.45,£5-6,540
183,518,522,180,7,0.2,£5-6,600
184,172,646,900,6,2.15,£6-9,1260
185,58,478,780,4,1.88,£6-8,1020
186,305,192,1380,7,2.69,£8-11,1800
187,119,427,840,2,1.29,£5-7,960
188,305,737,1560,7,4.56,£11-14,1980
189,222,594,1680,2,2.4,£8-12,1800
190,459,519,660,6,2.44,£6-9,1020
191,772,669,240,8,0.6,£5-6,720
192,195,583,600,5,1.51,£5-7,900
193,789,521,540,6,2.05,£6-8,900
194,541,109,780,5,0.94,£5-7,1080
195,457,214,660,4,1.61,£5-7,900
196,388,587,1560,8,2.56,£8-12,2040
197,787,784,240,9,0.25,£5-6,780
198,230,345,1680,5,4.21,£10-14,1980
199,301,350,960,6,2.63,£7-10,1320
200,570,480,660,7,1.94,£6-8,1080
201,12,119,900,11,2.34,£7-9,1560
202,411,580,300,6,0.66,£5-6,660
203,182,330,480,4,0.93,£5-6,720
204,252,703,780,8,1.54,£6-8,1260
205,263,78,1020,8,1.41,£6-8,1500
206,326,733,2220,4,4.77,£12-17,2460
207,506,46,600,3,1.29,£5-7,780
208,193,762,960,6,1.82,£6-9,1320
209,177,154,900,4,2.12,£6-9,1140
210,39,544,780,2,1.63,£6-8,900
211,800,395,480,7,1.04,£5-6,900
212,104,154,1380,4,3.39,£9-12,1620
213,384,781,480,2,0.94,£5-6,600
214,109,426,1080,12,2.19,£7-9,1800
215,785,783,360,7,1.19,£5-6,780
216,48,154,780,4,1.74,£6-8,1020
217,491,500,300,8,0.65,£5-6,780
218,12,321,2040,10,3.8,£11-15,2640
219,28,367,540,7,1.21,£5-7,960
220,374,13,1800,8,2.63,£9-12,2280
221,255,650,600,5,2.18,£6-8,900
222,759,167,1380,3,2.87,£8-12,1560
223,277,124,960,9,2.34,£7-9,1500
224,374,193,600,9,1.48,£5-7,1140
225,722,319,840,7,1.66,£6-8,1260
226,800,277,1260,7,3.01,£8-11,1680
227,766,688,300,13,0.59,£5-6,1080
228,735,644,1080,14,3.81,£9-12,1920
229,213,379,1080,4,3.23,£8-11,1320
230,553,30,720,6,1.85,£6-8,1080
231,191,138,540,3,0.93,£5-6,720
232,71,361,900,5,2.12,£6-9,1200
233,405,384,300,2,0.65,£5-6,420
234,108,662,900,5,2.34,£7-9,1200
235,780,723,300,12,0.69,£5-6,1020
236,61,202,960,3,2.32,£7-9,1140
237,466,479,480,4,1.27,£5-6,720
238,122,107,720,5,1.27,£5-7,1020
239,340,174,720,9,1.56,£5-8,1260
240,773,104,1080,7,1.51,£6-8,1500
241,597,671,240,13,0.39,£5-6,1020
242,618,636,240,11,0.73,£5-6,900
243,580,223,360,9,0.92,£5-6,900
244,204,401,960,6,2.24,£7-9,1320
245,300,138,600,7,1.38,£5-7,1020
246,7,366,1260,6,2.02,£7-10,1620
247,648,628,240,15,0.71,£5-6,1140
248,305,751,1200,5,2.7,£8-11,1500
249,506,537,300,3,0.62,£5-6,480
250,114,271,540,3,1.75,£5-7,720
251,55,66,720,7,1.3,£5-7,1140
252,107,699,720,4,1.81,£6-8,960
253,65,7,780,9,2.44,£7-9,1320
254,512,749,360,4,0.94,£5-6,600
255,55,206,1020,7,1.37,£6-8,1440
256,374,12,1500,8,2.41,£8-11,1980
257,117,281,360,4,0.68,£5-6,600
258,154,135,1200,9,2.66,£8-11,1740
259,191,703,1860,4,2.69,£9-13,2100
260,356,105,900,4,2.17,£6-9,1140
261,104,505,1020,3,3.07,£8-11,1200
262,292,55,2760,2,4.36,£13-18,2880
263,367,432,840,5,1.79,£6-8,1140
264,533,751,1620,3,3.93,£10-14,1800
265,129,144,1260,6,2.51,£8-11,1620
266,140,104,1020,3,1.23,£6-8,1200
267,278,481,1500,8,5.45,£11-16,1980
268,719,564,1740,5,4.54,£11-15,2040
269,686,332,600,9,2.1,£6-8,1140
270,233,397,1620,9,3.23,£9-13,2160
271,428,37,540,4,1.39,£5-7,780
272,102,803,1200,4,1.5,£6-9,1440
273,222,279,960,4,2.41,£7-10,1200
274,404,111,780,6,2.05,£6-8,1140
275,671,615,300,13,0.93,£5-6,1080
276,758,650,300,2,0.64,£5-6,420
277,219,303,780,5,2.19,£6-9,1080
278,2,44,1620,6,2.89,£9-12,1980
279,345,148,480,4,1.74,£5-7,720
280,335,135,960,8,2.0,£6-9,1440
281,91,112,1620,4,2.29,£8-11,1860
282,21,66,960,6,2.26,£7-9,1320
283,619,607,300,12,0.73,£5-6,1020
284,745,280,600,10,1.55,£5-7,1200
285,650,151,300,5,0.78,£5-6,600
286,229,797,1560,11,2.3,£8-11,2220
287,350,150,300,5,0.86,£5-6,600
288,574,544,420,4,0.97,£5-6,660
289,123,793,360,4,1.08,£5-6,600
290,618,376,1320,11,3.54,£9-12,1980
